event_id,event_timestamp,road_id,road_name,city,latitude,longitude,vehicle_count,average_speed_kmh,occupancy_percent,weather_condition,temperature_c,rainfall_mm,incident_flag
EVT1D1C53CC,2026-09-01 00:04:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,54,31.75,12.42,Rain,25.62,9.42,False
EVT6B4058E0,2026-09-01 00:04:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,51,47.62,16.86,Clear,28.76,0.0,False
EVTA6B76F83,2026-09-01 00:04:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,29,52.01,11.62,Clear,33.89,0.0,False
EVT0E151A1D,2026-09-01 00:04:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,33,51.74,19.91,Clear,29.36,0.0,False
EVTB3F4EFA0,2026-09-01 00:04:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,37,24.13,14.83,Clear,28.4,0.0,False
EVT4762701F,2026-09-01 00:05:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,43,53.11,21.95,Clear,24.48,0.0,False
EVT3183CBEA,2026-09-01 00:05:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,57,48.02,23.42,Clear,31.0,0.0,False
EVT9B9CC44F,2026-09-01 00:05:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,44,56.07,19.42,Clear,33.53,0.0,False
EVTF2C7621B,2026-09-01 00:05:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,44,57.27,9.21,Cloudy,32.38,1.05,False
EVTA81F9474,2026-09-01 00:05:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,64,21.88,16.03,Clear,29.18,0.0,False
EVT722B7B2D,2026-09-01 00:06:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,62,36.86,33.73,Rain,30.5,14.85,False
EVTE8FF998D,2026-09-01 00:06:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,45,53.52,15.1,Clear,26.83,0.0,False
EVTEBD2940E,2026-09-01 00:06:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,70,55.01,9.41,Clear,33.52,0.0,False
EVTE91465E1,2026-09-01 00:06:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,22,53.41,12.06,Cloudy,28.61,0.87,False
EVT99AD193D,2026-09-01 00:06:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,24,52.8,17.58,Clear,28.67,0.0,False
EVTBD6D475F,2026-09-01 00:07:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,65,53.56,17.64,Clear,29.29,0.0,False
EVT40B78BC3,2026-09-01 00:07:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,64,22.94,22.14,Clear,25.52,0.0,True
EVT4AA39BEB,2026-09-01 00:07:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,71,56.69,9.66,Cloudy,26.26,2.0,False
EVT78EECE15,2026-09-01 00:07:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,33,58.73,13.93,Cloudy,29.48,0.98,False
EVTECCE772B,2026-09-01 00:07:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,32,56.52,15.89,Clear,32.79,0.0,False
EVT45C2B9C3,2026-09-01 00:08:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,75,24.87,34.21,Clear,24.75,0.0,True
EVTCCB69C64,2026-09-01 00:08:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,34,32.74,29.6,Rain,29.45,11.12,False
EVT4F435739,2026-09-01 00:08:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,48,48.02,15.02,Clear,25.33,0.0,False
EVT3D0BC7CD,2026-09-01 00:08:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,45,55.97,10.37,Clear,31.14,0.0,False
EVT291AFA9A,2026-09-01 00:08:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,20,65.57,10.57,Cloudy,29.81,0.39,False
EVT2A1D9BB3,2026-09-01 00:09:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,71,50.89,10.4,Clear,32.32,0.0,False
EVT4428DE7F,2026-09-01 00:09:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,73,45.96,17.97,Clear,31.53,0.0,False
EVT755F8214,2026-09-01 00:09:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,43,49.71,16.02,Clear,26.65,0.0,False
EVT14FCD629,2026-09-01 00:09:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,49,12.82,20.17,Clear,33.77,0.0,True
EVT6225F5AB,2026-09-01 00:09:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,44,66.23,15.72,Clear,31.73,0.0,False
EVT3397869C,2026-09-01 00:10:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,32,51.59,15.87,Clear,27.41,0.0,False
EVT64D02FA0,2026-09-01 00:10:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,89,11.44,31.57,Clear,25.02,0.0,True
EVT34004656,2026-09-01 00:10:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,26,54.74,18.85,Clear,33.12,0.0,False
EVTFD713DFE,2026-09-01 00:10:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,47,52.4,12.26,Clear,33.8,0.0,False
EVT70705D6F,2026-09-01 00:10:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,63,43.87,16.93,Rain,25.77,4.42,False
EVTC5658144,2026-09-01 00:11:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,70,55.53,16.49,Clear,29.67,0.0,False
EVTAA1BE906,2026-09-01 00:11:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,32,46.97,26.11,Clear,24.68,0.0,False
EVT5E812D6D,2026-09-01 00:11:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,31,47.84,11.53,Clear,29.76,0.0,False
EVTD3C2D0F5,2026-09-01 00:11:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,41,29.65,13.46,Rain,30.7,12.07,False
EVT002E47F2,2026-09-01 00:11:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,47,18.38,14.26,Clear,28.79,0.0,True
EVTBEC07A28,2026-09-01 00:12:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,50,56.68,20.52,Clear,25.33,0.0,False
EVTEB06CD55,2026-09-01 00:12:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,47,51.49,19.14,Clear,27.63,0.0,False
EVT2240AB5B,2026-09-01 00:12:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,24,58.68,11.7,Clear,27.4,0.0,False
EVT45B64C98,2026-09-01 00:12:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,37,52.64,10.16,Cloudy,30.35,1.62,False
EVT493B13C9,2026-09-01 00:12:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,51,30.83,24.08,Clear,32.28,0.0,False
EVTEDB86867,2026-09-01 00:13:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,34,58.52,11.98,Clear,27.82,0.0,False
EVT6CCA3D6D,2026-09-01 00:13:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,51,51.12,24.47,Cloudy,32.73,0.99,False
EVTE81507D0,2026-09-01 00:13:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,41,57.37,20.48,Clear,24.27,0.0,False
EVT3E8AAE41,2026-09-01 00:13:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,51,51.76,17.32,Clear,32.79,0.0,False
EVT45938D0F,2026-09-01 00:13:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,54,28.8,21.9,Rain,26.32,6.35,False
EVTF7072FE3,2026-09-01 00:14:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,59,57.06,14.0,Clear,31.3,0.0,False
EVT47851770,2026-09-01 00:14:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,44,58.07,18.78,Cloudy,24.49,1.61,False
EVTAB12BCD1,2026-09-01 00:14:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,48,50.24,15.26,Clear,31.11,0.0,False
EVT47B50733,2026-09-01 00:14:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,48,52.25,15.46,Clear,28.2,0.0,False
EVTB9526DE7,2026-09-01 00:14:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,62,60.76,18.0,Clear,24.23,0.0,False
EVT4D464472,2026-09-01 00:15:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,46,54.54,26.31,Clear,24.56,0.0,False
EVTE632A126,2026-09-01 00:15:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,78,49.86,15.22,Clear,26.85,0.0,False
EVT908355FF,2026-09-01 00:15:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,27,54.88,21.13,Cloudy,33.04,0.71,False
EVTDD49F7A0,2026-09-01 00:15:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,30,54.78,9.09,Clear,28.68,0.0,False
EVT9B102D58,2026-09-01 00:15:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,60,41.04,21.75,Rain,29.84,11.32,False
EVT30294CB1,2026-09-01 00:16:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,37,56.33,18.65,Clear,32.74,0.0,False
EVT5AF5FC5A,2026-09-01 00:16:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,84,50.07,22.38,Clear,29.39,0.0,False
EVT95EB9E2C,2026-09-01 00:16:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,55,50.26,16.16,Cloudy,25.08,0.91,False
EVT45EE2E24,2026-09-01 00:16:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,45,56.55,14.68,Clear,31.51,0.0,False
EVTE17CD4E3,2026-09-01 00:16:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,44,63.45,12.54,Clear,30.43,0.0,False
EVT84DCD39D,2026-09-01 00:17:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,63,15.54,35.73,Clear,25.73,0.0,True
EVT63707CAD,2026-09-01 00:17:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,63,19.77,31.65,Clear,27.38,0.0,True
EVT4BBA7ABD,2026-09-01 00:17:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,57,26.05,26.1,Cloudy,24.9,1.55,True
EVT5EE00DBB,2026-09-01 00:17:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,40,52.34,12.51,Clear,30.28,0.0,False
EVT991DBE45,2026-09-01 00:17:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,56,60.52,16.38,Clear,28.05,0.0,False
EVT1A3FC11D,2026-09-01 00:18:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,67,57.11,17.5,Cloudy,31.83,1.61,False
EVT71786DD1,2026-09-01 00:18:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,75,48.54,14.22,Clear,24.77,0.0,False
EVTD91C8B83,2026-09-01 00:18:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,54,53.93,9.23,Clear,31.5,0.0,False
EVT8AA899AD,2026-09-01 00:18:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,39,57.72,7.32,Cloudy,25.63,1.62,False
EVT3ACFEF29,2026-09-01 00:18:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,47,58.85,13.4,Clear,28.43,0.0,False
EVT22DC7DFD,2026-09-01 00:19:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,40,34.86,9.83,Rain,27.82,12.87,False
EVTF3F84BD3,2026-09-01 00:19:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,56,49.99,25.07,Clear,32.49,0.0,False
EVT2D8BCC1D,2026-09-01 00:19:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,63,13.56,25.31,Clear,33.07,0.0,True
EVT11DF876D,2026-09-01 00:19:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,44,53.26,10.14,Clear,32.05,0.0,False
EVT6B0C7274,2026-09-01 00:19:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,33,52.05,15.19,Clear,24.85,0.0,False
EVT0F5FEAA7,2026-09-01 00:20:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,37,55.85,9.88,Clear,31.31,0.0,False
EVT1CE630C1,2026-09-01 00:20:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,45,56.29,22.78,Clear,32.89,0.0,False
EVT3AABFAAB,2026-09-01 00:20:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,53,55.76,14.12,Cloudy,30.9,1.8,False
EVTD140B75E,2026-09-01 00:20:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,49,45.19,16.05,Rain,27.98,8.01,False
EVTD36483CC,2026-09-01 00:20:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,36,51.2,16.07,Clear,24.68,0.0,False
EVT99C3B4D6,2026-09-01 00:21:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,64,59.35,13.5,Clear,25.18,0.0,False
EVTDE0EEA3F,2026-09-01 00:21:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,63,57.99,14.63,Clear,31.38,0.0,False
EVT862FF7FD,2026-09-01 00:21:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,52,53.21,19.08,Clear,27.93,0.0,False
EVT49AF0E46,2026-09-01 00:21:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,32,10.89,33.91,Rain,32.07,19.54,True
EVT8AC617F2,2026-09-01 00:21:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,53,60.49,15.52,Clear,33.08,0.0,False
EVT6C629D65,2026-09-01 00:22:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,62,60.38,20.52,Clear,28.43,0.0,False
EVT943DF560,2026-09-01 00:22:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,42,54.64,22.02,Cloudy,27.74,0.04,False
EVTD6C997BC,2026-09-01 00:22:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,60,52.71,10.56,Clear,25.33,0.0,False
EVTA3F75A8E,2026-09-01 00:22:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,18,58.97,18.62,Clear,30.57,0.0,False
EVTCDA877B4,2026-09-01 00:22:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,19,62.2,15.25,Clear,31.46,0.0,False
EVT5FD07C2F,2026-09-01 00:23:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,42,52.49,21.4,Cloudy,33.63,1.06,False
EVTB75E3CD6,2026-09-01 00:23:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,69,53.8,21.32,Clear,28.12,0.0,False
EVT6D8C65D2,2026-09-01 00:23:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,44,51.76,15.51,Clear,32.69,0.0,False
EVT58824883,2026-09-01 00:23:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,24,60.39,20.63,Cloudy,29.53,1.04,False
EVT0341785B,2026-09-01 00:23:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,38,66.53,11.92,Clear,28.46,0.0,False
EVT384D5686,2026-09-01 00:24:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,65,53.56,20.05,Cloudy,24.78,1.61,False
EVT90010B8C,2026-09-01 00:24:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,38,44.86,13.01,Clear,32.61,0.0,False
EVTBDCFE8D6,2026-09-01 00:24:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,63,54.55,25.38,Clear,24.82,0.0,False
EVT1B179EEC,2026-09-01 00:24:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,36,56.6,13.73,Clear,24.23,0.0,False
EVTF17C1EEA,2026-09-01 00:24:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,30,59.96,16.58,Cloudy,26.36,1.19,False
EVT70147028,2026-09-01 00:25:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,52,54.61,22.16,Clear,31.82,0.0,False
EVT5443377A,2026-09-01 00:25:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,74,53.22,18.93,Cloudy,31.46,1.08,False
EVTF460DCB7,2026-09-01 00:25:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,36,23.23,34.29,Clear,29.29,0.0,True
EVTC56CCF84,2026-09-01 00:25:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,35,52.94,14.23,Clear,29.94,0.0,False
EVT05E0F791,2026-09-01 00:25:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,35,56.36,10.84,Clear,26.73,0.0,False
EVT7D9DEB29,2026-09-01 00:26:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,42,21.39,19.76,Cloudy,24.33,0.5,True
EVT7FC015A0,2026-09-01 00:26:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,60,37.36,23.88,Rain,25.31,4.84,False
EVT3A936570,2026-09-01 00:26:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,67,50.12,13.87,Cloudy,31.23,0.05,False
EVT0605DB8E,2026-09-01 00:26:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,54,54.23,15.45,Clear,24.45,0.0,False
EVT5AD1EC6A,2026-09-01 00:26:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,31,53.05,15.38,Clear,28.41,0.0,False
EVT641C05DF,2026-09-01 00:27:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,54,56.04,16.11,Clear,24.79,0.0,False
EVT307899B7,2026-09-01 00:27:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,84,30.2,22.87,Rain,31.52,18.86,False
EVTCBAACAB3,2026-09-01 00:27:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,43,50.51,12.31,Clear,28.15,0.0,False
EVTF74D3436,2026-09-01 00:27:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,21,52.47,16.31,Clear,33.8,0.0,False
EVT518D56D8,2026-09-01 00:27:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,52,64.19,15.64,Clear,30.99,0.0,False
EVTB1B59E76,2026-09-01 00:28:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,77,28.57,33.01,Rain,26.86,10.23,False
EVTA7CA5614,2026-09-01 00:28:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,31,56.05,15.72,Clear,31.93,0.0,False
EVT556E26DA,2026-09-01 00:28:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,75,53.15,17.58,Clear,26.15,0.0,False
EVT4B3A16AF,2026-09-01 00:28:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,49,20.66,30.82,Cloudy,31.46,0.59,True
EVTDEFAEF55,2026-09-01 00:28:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,53,51.74,16.86,Clear,25.92,0.0,False
EVT4D9DDF29,2026-09-01 00:29:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,46,52.01,17.42,Clear,30.45,0.0,False
EVTF44F924F,2026-09-01 00:29:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,66,57.38,26.76,Clear,30.35,0.0,False
EVT3E345C43,2026-09-01 00:29:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,36,47.78,9.56,Clear,24.22,0.0,False
EVT33BCD118,2026-09-01 00:29:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,59,39.59,19.68,Rain,29.15,8.91,False
EVTB2F6F040,2026-09-01 00:29:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,41,61.08,16.13,Cloudy,29.5,1.97,False
EVT5C4E775C,2026-09-01 00:30:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,47,52.54,16.76,Clear,28.6,0.0,False
EVT9086E0B0,2026-09-01 00:30:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,54,46.37,17.64,Clear,27.66,0.0,False
EVTCB27E88B,2026-09-01 00:30:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,33,50.11,19.84,Clear,24.08,0.0,False
EVTC775FC77,2026-09-01 00:30:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,48,54.44,19.42,Clear,27.85,0.0,False
EVTF2AD6290,2026-09-01 00:30:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,64,15.53,16.28,Cloudy,25.52,1.07,True
EVT14B75987,2026-09-01 00:31:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,45,48.79,7.68,Cloudy,26.64,0.71,False
EVT3589A7E1,2026-09-01 00:31:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,31,49.43,21.13,Clear,25.94,0.0,False
EVT0B3AE65C,2026-09-01 00:31:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,56,53.71,21.9,Cloudy,24.79,1.22,False
EVT9CDF2A5E,2026-09-01 00:31:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,43,59.97,18.28,Clear,33.84,0.0,False
EVT61D1A82F,2026-09-01 00:31:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,40,31.67,18.77,Rain,27.16,8.22,False
EVT9CF42844,2026-09-01 00:32:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,45,49.12,16.38,Clear,27.23,0.0,False
EVT0D3F113D,2026-09-01 00:32:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,46,46.15,15.44,Clear,32.61,0.0,False
EVT6592B64E,2026-09-01 00:32:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,35,60.27,16.69,Clear,24.51,0.0,False
EVTE5D913AB,2026-09-01 00:32:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,44,57.18,13.47,Clear,25.53,0.0,False
EVT70660D42,2026-09-01 00:32:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,45,59.47,17.23,Clear,28.43,0.0,False
EVTFE513287,2026-09-01 00:33:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,28,58.05,12.15,Clear,25.23,0.0,False
EVT6647D2B5,2026-09-01 00:33:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,41,30.16,28.46,Rain,26.84,11.84,False
EVT67D44C41,2026-09-01 00:33:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,52,58.1,11.64,Clear,24.48,0.0,False
EVT63019C5E,2026-09-01 00:33:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,53,62.72,17.91,Cloudy,33.4,0.31,False
EVT48989779,2026-09-01 00:33:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,26,60.32,12.85,Clear,25.86,0.0,False
EVTF24EA8E3,2026-09-01 00:34:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,57,24.82,24.61,Rain,30.77,9.24,False
EVTCDC8D46B,2026-09-01 00:34:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,88,29.75,18.54,Rain,25.99,3.22,False
EVTF1BDDF9F,2026-09-01 00:34:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,40,56.27,23.25,Clear,33.3,0.0,False
EVT064F2C97,2026-09-01 00:34:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,47,55.56,15.56,Clear,32.44,0.0,False
